severidade,sku,produto,problema
bloqueia,"MODTOM10ABCMLZ","MILUZ MODULO TOMADA NBR 10A BRANCO S3B70340 SCHNEIDER","Sem peso cadastrado: o frete não tem como ser calculado"
bloqueia,"MODTOM10ABCMLZ","MILUZ MODULO TOMADA NBR 10A BRANCO S3B70340 SCHNEIDER","Dimensões incompletas: transportadora cobra por cubagem"
atrapalha,"MODTOM10ABCMLZ","MILUZ MODULO TOMADA NBR 10A BRANCO S3B70340 SCHNEIDER","Sem descrição"
ajuste,"MODTOM10ABCMLZ","MILUZ MODULO TOMADA NBR 10A BRANCO S3B70340 SCHNEIDER","Nome todo em caixa alta: dificulta a leitura na vitrine"
bloqueia,"MODTOM20ABCMLZ","MILUZ MODULO TOMADA NBR 20A BRANCO S3B70350 SCHNEIDER","Sem peso cadastrado: o frete não tem como ser calculado"
bloqueia,"MODTOM20ABCMLZ","MILUZ MODULO TOMADA NBR 20A BRANCO S3B70350 SCHNEIDER","Dimensões incompletas: transportadora cobra por cubagem"
atrapalha,"MODTOM20ABCMLZ","MILUZ MODULO TOMADA NBR 20A BRANCO S3B70350 SCHNEIDER","Sem descrição"
ajuste,"MODTOM20ABCMLZ","MILUZ MODULO TOMADA NBR 20A BRANCO S3B70350 SCHNEIDER","Nome todo em caixa alta: dificulta a leitura na vitrine"
bloqueia,"PLC4X21PBRMLZ","MILUZ PLACA 4X2 1 MOD BRANCA S3B77110 SCHNEIDER","Sem peso cadastrado: o frete não tem como ser calculado"
bloqueia,"PLC4X21PBRMLZ","MILUZ PLACA 4X2 1 MOD BRANCA S3B77110 SCHNEIDER","Dimensões incompletas: transportadora cobra por cubagem"
atrapalha,"PLC4X21PBRMLZ","MILUZ PLACA 4X2 1 MOD BRANCA S3B77110 SCHNEIDER","Sem descrição"
ajuste,"PLC4X21PBRMLZ","MILUZ PLACA 4X2 1 MOD BRANCA S3B77110 SCHNEIDER","Nome todo em caixa alta: dificulta a leitura na vitrine"
bloqueia,"SUP4X2MLZ","MILUZ SUPORTE 4X2 3 POSTOS S3B76120 SCHNEIDER ","Sem peso cadastrado: o frete não tem como ser calculado"
bloqueia,"SUP4X2MLZ","MILUZ SUPORTE 4X2 3 POSTOS S3B76120 SCHNEIDER ","Dimensões incompletas: transportadora cobra por cubagem"
atrapalha,"SUP4X2MLZ","MILUZ SUPORTE 4X2 3 POSTOS S3B76120 SCHNEIDER ","Sem descrição"
ajuste,"SUP4X2MLZ","MILUZ SUPORTE 4X2 3 POSTOS S3B76120 SCHNEIDER ","Nome todo em caixa alta: dificulta a leitura na vitrine"
ajuste,"PNLED80423004","PAINEL LED EMB QD BLUMENAU 12W 3000K ALU 170M 80423004 BIV","Nome todo em caixa alta: dificulta a leitura na vitrine"
ajuste,"PNLED80426004","PAINEL LED EMB QD BLUMENAU 12W 6500K ALU 170M 80426004 BIV","Nome todo em caixa alta: dificulta a leitura na vitrine"
bloqueia,"PNLQDSB18W6KEMP","PAINEL LED EMPALUX  ALU QDO SOB 18W 6000K 20X20CM 1244LM","Sem peso cadastrado: o frete não tem como ser calculado"
bloqueia,"PNLQDSB18W6KEMP","PAINEL LED EMPALUX  ALU QDO SOB 18W 6000K 20X20CM 1244LM","Dimensões incompletas: transportadora cobra por cubagem"
atrapalha,"PNLQDSB18W6KEMP","PAINEL LED EMPALUX  ALU QDO SOB 18W 6000K 20X20CM 1244LM","Sem descrição"
ajuste,"PNLQDSB18W6KEMP","PAINEL LED EMPALUX  ALU QDO SOB 18W 6000K 20X20CM 1244LM","Nome todo em caixa alta: dificulta a leitura na vitrine"
bloqueia,"PNLQDEM18W6KEMP","PAINEL LED EMPALUX ALU QDO EMB 018W 6000K 21X21CM 1244LM","Sem peso cadastrado: o frete não tem como ser calculado"
bloqueia,"PNLQDEM18W6KEMP","PAINEL LED EMPALUX ALU QDO EMB 018W 6000K 21X21CM 1244LM","Dimensões incompletas: transportadora cobra por cubagem"
atrapalha,"PNLQDEM18W6KEMP","PAINEL LED EMPALUX ALU QDO EMB 018W 6000K 21X21CM 1244LM","Sem descrição"
ajuste,"PNLQDEM18W6KEMP","PAINEL LED EMPALUX ALU QDO EMB 018W 6000K 21X21CM 1244LM","Nome todo em caixa alta: dificulta a leitura na vitrine"
bloqueia,"PNALQDEM24W30K29","PAINEL LED EMPALUX ALU QDO EMB 24W 3000K 29X29C","Sem peso cadastrado: o frete não tem como ser calculado"
bloqueia,"PNALQDEM24W30K29","PAINEL LED EMPALUX ALU QDO EMB 24W 3000K 29X29C","Dimensões incompletas: transportadora cobra por cubagem"
atrapalha,"PNALQDEM24W30K29","PAINEL LED EMPALUX ALU QDO EMB 24W 3000K 29X29C","Sem descrição"
ajuste,"PNALQDEM24W30K29","PAINEL LED EMPALUX ALU QDO EMB 24W 3000K 29X29C","Nome todo em caixa alta: dificulta a leitura na vitrine"
